word,katakana,part_of_speech,conjugation_type,conjugated_form_example
あげる,アゲル,動詞-非自立可能,下一段-ガ行,連用形-一般
二人,フタリ,名詞-普通名詞-副詞可能,0,0
七,ナナ,名詞-数詞,0,0
七十,ナナジュウ,名詞-数詞,0,0
悪い,ワルイ,形容詞-一般,形容詞,連体形-一般
百,ヒャク,名詞-数詞,0,0
二百,ニヒャク,名詞-数詞,0,0
五百,ゴヒャク,名詞-数詞,0,0
三百,サンビャク,名詞-数詞,0,0
四百,ヨンヒャク,名詞-数詞,0,0
六百,ロッピャク,名詞-数詞,0,0
七百,ナナヒャク,名詞-数詞,0,0
八百,ハッピャク,名詞-数詞,0,0
声,コエ,名詞-普通名詞-一般,0,0
書く,カク,動詞-一般,五段-カ行-一般,連用形-一般
あまり,アマリ,副詞,0,0
そして,ソシテ,接続詞,0,0
歳,サイ,接尾辞-名詞的-助数詞,0,0
一人,ヒトリ,名詞-普通名詞-副詞可能,0,0
分,フン,接尾辞-名詞的-助数詞,0,0
仕事,シゴト,名詞-普通名詞-サ変可能,0,0
すぐ,スグ,副詞,0,0
こんな,コンナ,連体詞,0,0
言葉,コトバ,名詞-普通名詞-一般,0,0
かかる,カカル,動詞-非自立可能,五段-ラ行-一般,連体形-一般
下,シタ,名詞-普通名詞-一般,0,0
買う,カウ,動詞-一般,五段-ワア行-一般,連用形-促音便
電話,デンワ,名詞-普通名詞-サ変可能,0,0
ちょっと,チョット,副詞,0,0
母,ハハ,名詞-普通名詞-一般,0,0
なぜ,ナゼ,副詞,0,0
どんな,ドンナ,形状詞-一般,0,0
好き,スキ,形状詞-一般,0,0
九,キュウ,名詞-数詞,0,0
九十,キュウジュウ,名詞-数詞,0,0
九百,キュウヒャク,名詞-数詞,0,0
店,ミセ,名詞-普通名詞-一般,0,0
頭,アタマ,名詞-普通名詞-一般,0,0
ころ,コロ,名詞-普通名詞-副詞可能,0,0
高い,タカイ,形容詞-一般,形容詞,終止形-一般
意味,イミ,名詞-普通名詞-サ変可能,0,0
質問,シツモン,名詞-普通名詞-サ変可能,0,0
どの,ドノ,連体詞,0,0
食べる,タベル,動詞-一般,下一段-バ行,連用形-一般
問題,モンダイ,名詞-普通名詞-一般,0,0
口,クチ,名詞-普通名詞-一般,0,0
体,タイ,接尾辞-名詞的-一般,0,0
会社,カイシャ,名詞-普通名詞-一般,0,0
本,ホン,接頭辞,0,0
今日,キョウ,名詞-普通名詞-副詞可能,0,0
一緒,イッショ,名詞-普通名詞-サ変可能,0,0
大きい,オオキイ,形容詞-一般,形容詞,連用形-一般
一番,イチバン,副詞,0,0
切る,キル,動詞-非自立可能,五段-ラ行-一般,連体形-一般
話す,ハナス,動詞-一般,五段-サ行,連用形-一般
0,レイ,名詞-数詞,0,0
回,カイ,接尾辞-名詞的-助数詞,0,0
どちら,ドチラ,代名詞,0,0
飲む,ノム,動詞-一般,五段-マ行,連用形-撥音便
父,チチ,名詞-普通名詞-一般,0,0
欲しい,ホシイ,形容詞-非自立可能,形容詞,連体形-一般
早い,ハヤイ,形容詞-一般,形容詞,連用形-一般
帰る,カエル,動詞-一般,五段-ラ行-一般,連体形-一般
わ,ワ,助詞-終助詞,0,0
先生,センセイ,名詞-普通名詞-一般,0,0
次,ツギ,名詞-普通名詞-一般,0,0
部屋,ヘヤ,名詞-普通名詞-一般,0,0
立つ,タツ,動詞-一般,五段-タ行,連用形-一般
結婚,ケッコン,名詞-普通名詞-サ変可能,0,0
