word,katakana,part_of_speech,conjugation_type,conjugated_form_example
発条,ハツジョウ,名詞-普通名詞-一般,0,0
単身,タンシン,名詞-普通名詞-副詞可能,0,0
吹き飛ぶ,フキトブ,動詞-一般,五段-バ行,連体形-一般
おむつ,オムツ,名詞-普通名詞-一般,0,0
コイ,コイ,名詞-普通名詞-一般,0,0
夕暮れ,ユウグレ,名詞-普通名詞-一般,0,0
先駆,センク,名詞-普通名詞-サ変可能,0,0
生計,セイケイ,名詞-普通名詞-一般,0,0
憎しみ,ニクシミ,名詞-普通名詞-一般,0,0
ツリー,ツリー,名詞-普通名詞-一般,0,0
計上,ケイジョウ,名詞-普通名詞-サ変可能,0,0
中将,チュウジョウ,名詞-普通名詞-一般,0,0
根強い,ネヅヨイ,形容詞-一般,形容詞,連用形-一般
公団,コウダン,名詞-普通名詞-一般,0,0
免疫,メンエキ,名詞-普通名詞-一般,0,0
なくす,ナクス,動詞-一般,五段-サ行,未然形-一般
スキル,スキル,名詞-普通名詞-一般,0,0
待ち合い,マチアイ,名詞-普通名詞-一般,0,0
川岸,カワギシ,名詞-普通名詞-一般,0,0
見本,ミホン,名詞-普通名詞-一般,0,0
多彩,タサイ,形状詞-一般,0,0
へそ,ヘソ,名詞-普通名詞-一般,0,0
負債,フサイ,名詞-普通名詞-一般,0,0
長引く,ナガビク,動詞-一般,五段-カ行-一般,連体形-一般
辞退,ジタイ,名詞-普通名詞-サ変可能,0,0
瓦,カワラ,名詞-普通名詞-一般,0,0
親分,オヤブン,名詞-普通名詞-一般,0,0
濃厚,ノウコウ,形状詞-一般,0,0
品種,ヒンシュ,名詞-普通名詞-一般,0,0
主権,シュケン,名詞-普通名詞-一般,0,0
ちなむ,チナム,動詞-一般,五段-マ行,連体形-一般
ののしる,ノノシル,動詞-一般,五段-ラ行-一般,連体形-一般
ハハハ,ハハハ,感動詞-一般,0,0
全土,ゼンド,名詞-普通名詞-一般,0,0
亭,テイ,接尾辞-名詞的-一般,0,0
いまどき,イマドキ,名詞-普通名詞-副詞可能,0,0
改札,カイサツ,名詞-普通名詞-サ変可能,0,0
スイカ,スイカ,名詞-普通名詞-一般,0,0
入れ,イレル,接尾辞-名詞的-一般,0,0
付き添う,ツキソウ,動詞-一般,五段-ワア行-一般,連用形-促音便
本番,ホンバン,名詞-普通名詞-一般,0,0
簿,ボ,接尾辞-名詞的-一般,0,0
直結,チョッケツ,名詞-普通名詞-サ変可能,0,0
車体,シャタイ,名詞-普通名詞-一般,0,0
近,キン,接頭辞,0,0
適度,テキド,形状詞-一般,0,0
強固,キョウコ,形状詞-一般,0,0
罪悪,ザイアク,名詞-普通名詞-一般,0,0
使い分ける,ツカイワケル,動詞-一般,下一段-カ行,未然形-一般
啓蒙,ケイモウ,名詞-普通名詞-サ変可能,0,0
洗剤,センザイ,名詞-普通名詞-一般,0,0
カウンセリング,カウンセリング,名詞-普通名詞-サ変可能,0,0
裕福,ユウフク,形状詞-一般,0,0
学科,ガッカ,名詞-普通名詞-一般,0,0
心底,シンソコ,名詞-普通名詞-一般,0,0
つまさき,ツマサキ,名詞-普通名詞-一般,0,0
則,ノリ,接尾辞-名詞的-一般,0,0
住,ジュウ,名詞-普通名詞-一般,0,0
クール,クール,形状詞-一般,0,0
たからもの,タカラモノ,名詞-普通名詞-一般,0,0
公家,クゲ,名詞-普通名詞-一般,0,0
たいがい,タイガイ,名詞-普通名詞-副詞可能,0,0
所収,ショシュウ,名詞-普通名詞-一般,0,0
東方,トウホウ,名詞-普通名詞-一般,0,0
首長,シュチョウ,名詞-普通名詞-一般,0,0
少佐,ショウサ,名詞-普通名詞-一般,0,0
イチゴ,イチゴ,名詞-普通名詞-一般,0,0
補佐,ホサ,名詞-普通名詞-サ変可能,0,0
背く,ソムク,動詞-一般,五段-カ行-一般,終止形-一般
揺れ,ユレ,名詞-普通名詞-一般,0,0
飼い主,カイヌシ,名詞-普通名詞-一般,0,0
伝記,デンキ,名詞-普通名詞-一般,0,0
立ち入る,タチイル,動詞-一般,五段-ラ行-一般,連体形-一般
ミリリットル,ミリリットル,接尾辞-名詞的-助数詞,0,0
イラスト,イラスト,名詞-普通名詞-一般,0,0
探索,タンサク,名詞-普通名詞-サ変可能,0,0
使節,シセツ,名詞-普通名詞-一般,0,0
へ,ヘ,名詞-普通名詞-一般,0,0
浴びせる,アビセル,動詞-一般,下一段-サ行,未然形-一般
拉致,ラチ,名詞-普通名詞-サ変可能,0,0
搭乗,トウジョウ,名詞-普通名詞-サ変可能,0,0
根性,コンジョウ,名詞-普通名詞-一般,0,0
まじり,マジリ,接尾辞-名詞的-一般,0,0
事変,ジヘン,名詞-普通名詞-一般,0,0
自負,ジフ,名詞-普通名詞-サ変可能,0,0
キーボード,キーボード,名詞-普通名詞-一般,0,0
キリシタン,キリシタン,名詞-普通名詞-一般,0,0
則る,ノットル,動詞-一般,五段-ラ行-一般,連用形-促音便
紫色,ムラサキイロ,名詞-普通名詞-一般,0,0
和らげる,ヤワラゲル,動詞-一般,下一段-ガ行,終止形-一般
ずるい,ズルイ,形容詞-一般,形容詞,語幹-一般
揺さぶる,ユサブル,動詞-一般,五段-ラ行-一般,連用形-促音便
罰金,バッキン,名詞-普通名詞-一般,0,0
語学,ゴガク,名詞-普通名詞-一般,0,0
鳴き声,ナキゴエ,名詞-普通名詞-一般,0,0
炉,ロ,名詞-普通名詞-一般,0,0
オリーブ,オリーブ,名詞-普通名詞-一般,0,0
でたらめ,デタラメ,名詞-普通名詞-形状詞可能,0,0
郷里,キョウリ,名詞-普通名詞-一般,0,0
ドライ,ドライ,形状詞-一般,0,0
試行,シコウ,名詞-普通名詞-サ変可能,0,0
着実,チャクジツ,形状詞-一般,0,0
学力,ガクリョク,名詞-普通名詞-一般,0,0
後年,コウネン,名詞-普通名詞-副詞可能,0,0
淵,フチ,名詞-普通名詞-一般,0,0
南側,ミナミガワ,名詞-普通名詞-一般,0,0
沢,サワ,名詞-普通名詞-一般,0,0
抄,ショウ,名詞-普通名詞-一般,0,0
極度,キョクド,名詞-普通名詞-形状詞可能,0,0
胎児,タイジ,名詞-普通名詞-一般,0,0
祝日,シュクジツ,名詞-普通名詞-一般,0,0
しばし,シバシ,副詞,0,0
暗号,アンゴウ,名詞-普通名詞-一般,0,0
念仏,ネンブツ,名詞-普通名詞-サ変可能,0,0
工芸,コウゲイ,名詞-普通名詞-一般,0,0
みるみる,ミルミル,副詞,0,0
インク,インク,名詞-普通名詞-一般,0,0
特例,トクレイ,名詞-普通名詞-一般,0,0
エッセー,エッセー,名詞-普通名詞-一般,0,0
性欲,セイヨク,名詞-普通名詞-一般,0,0
宣告,センコク,名詞-普通名詞-サ変可能,0,0
郵政,ユウセイ,名詞-普通名詞-一般,0,0
労,ロウ,接尾辞-名詞的-一般,0,0
ヒノキ,ヒノキ,名詞-普通名詞-一般,0,0
断ち切る,タチキル,動詞-一般,五段-ラ行-一般,未然形-一般
片付け,カタヅケ,名詞-普通名詞-一般,0,0
小道,コミチ,名詞-普通名詞-一般,0,0
粒子,リュウシ,名詞-普通名詞-一般,0,0
母乳,ボニュウ,名詞-普通名詞-一般,0,0
高層,コウソウ,名詞-普通名詞-一般,0,0
途,ト,名詞-普通名詞-一般,0,0
叶える,カナエル,動詞-一般,下一段-ア行,連体形-一般
かじる,カジル,動詞-一般,五段-ラ行-一般,連用形-一般
かゆい,カユイ,形容詞-一般,形容詞,語幹-一般
溺れる,オボレル,動詞-一般,下一段-ラ行-一般,連用形-一般
謙虚,ケンキョ,形状詞-一般,0,0
息苦しい,イキグルシイ,形容詞-一般,形容詞,連用形-一般
憎悪,ゾウオ,名詞-普通名詞-サ変可能,0,0
立証,リッショウ,名詞-普通名詞-サ変可能,0,0
壊滅,カイメツ,名詞-普通名詞-サ変可能,0,0
下流,カリュウ,名詞-普通名詞-一般,0,0
死去,シキョ,名詞-普通名詞-サ変可能,0,0
儒教,ジュキョウ,名詞-普通名詞-一般,0,0
反撃,ハンゲキ,名詞-普通名詞-サ変可能,0,0
井,イ,名詞-普通名詞-一般,0,0
遅く,オソイ,名詞-普通名詞-副詞可能,0,0
彫る,ホル,動詞-一般,五段-ラ行-一般,連用形-一般
ボーナス,ボーナス,名詞-普通名詞-一般,0,0
立ち上げる,タチアゲル,動詞-一般,下一段-ガ行,連用形-一般
にぎわう,ニギワウ,動詞-一般,五段-ワア行-一般,連用形-促音便
ネギ,ネギ,名詞-普通名詞-一般,0,0
太もも,フトモモ,名詞-普通名詞-一般,0,0
手だて,テダテ,名詞-普通名詞-一般,0,0
アンダー,アンダー,名詞-普通名詞-一般,0,0
缶詰め,カンヅメ,名詞-普通名詞-一般,0,0
仰向け,アオムケ,名詞-普通名詞-一般,0,0
フラフラ,フラフラ,副詞,0,0
とかく,トカク,副詞,0,0
蜂,ハチ,名詞-普通名詞-一般,0,0
分岐,ブンキ,名詞-普通名詞-サ変可能,0,0
虐殺,ギャクサツ,名詞-普通名詞-サ変可能,0,0
甲子,コウシ,名詞-普通名詞-一般,0,0
実業,ジツギョウ,名詞-普通名詞-一般,0,0
了承,リョウショウ,名詞-普通名詞-サ変可能,0,0
通夜,ツヤ,名詞-普通名詞-一般,0,0
ペニス,ペニス,名詞-普通名詞-一般,0,0
さえる,サエル,動詞-一般,下一段-ア行,連用形-一般
万事,バンジ,名詞-普通名詞-一般,0,0
濁る,ニゴル,動詞-一般,五段-ラ行-一般,連用形-一般
身辺,シンペン,名詞-普通名詞-一般,0,0
形づくる,カタチヅクル,動詞-一般,五段-ラ行-一般,終止形-一般
おふくろ,オフクロ,名詞-普通名詞-一般,0,0
イノシシ,イノシシ,名詞-普通名詞-一般,0,0
ノット,ノット,名詞-普通名詞-一般,0,0
優越,ユウエツ,名詞-普通名詞-サ変可能,0,0
無念,ムネン,名詞-普通名詞-形状詞可能,0,0
やばい,ヤバイ,形容詞-一般,形容詞,連体形-一般
見据える,ミスエル,動詞-一般,下一段-ア行,連用形-一般
買い取る,カイトル,動詞-一般,五段-ラ行-一般,連用形-促音便
破滅,ハメツ,名詞-普通名詞-サ変可能,0,0
キャンセル,キャンセル,名詞-普通名詞-サ変可能,0,0
あだ,アダ,名詞-普通名詞-一般,0,0
目の当たり,マノアタリ,名詞-普通名詞-副詞可能,0,0
ベルギー,ベルギー,名詞-固有名詞-地名-国,0,0
革,カワ,名詞-普通名詞-一般,0,0
通告,ツウコク,名詞-普通名詞-サ変可能,0,0
担い手,ニナイテ,名詞-普通名詞-一般,0,0
系譜,ケイフ,名詞-普通名詞-一般,0,0
銘柄,メイガラ,名詞-普通名詞-一般,0,0
過失,カシツ,名詞-普通名詞-一般,0,0
車輪,シャリン,名詞-普通名詞-一般,0,0
政,セイ,名詞-普通名詞-一般,0,0
台頭,タイトウ,名詞-普通名詞-サ変可能,0,0
照れる,テレル,動詞-一般,下一段-ラ行-一般,未然形-一般
静,セイ,名詞-普通名詞-形状詞可能,0,0
心得,ココロエ,名詞-普通名詞-一般,0,0
フォー,フォー,名詞-普通名詞-一般,0,0
任,ニン,名詞-普通名詞-一般,0,0
くるくる,クルクル,副詞,0,0
崇拝,スウハイ,名詞-普通名詞-サ変可能,0,0
コマ,コマ,名詞-普通名詞-一般,0,0
途絶える,トダエル,動詞-一般,下一段-ア行,連体形-一般
本位,ホンイ,名詞-普通名詞-一般,0,0
ふける,フケル,動詞-一般,五段-ラ行-一般,連用形-促音便
南下,ナンカ,名詞-普通名詞-サ変可能,0,0
容姿,ヨウシ,名詞-普通名詞-一般,0,0
持ちかける,モチカケル,動詞-一般,下一段-カ行,連体形-一般
途轍,トテツ,名詞-普通名詞-一般,0,0
時速,ジソク,名詞-普通名詞-一般,0,0
起訴,キソ,名詞-普通名詞-サ変可能,0,0
比重,ヒジュウ,名詞-普通名詞-一般,0,0
家人,ケニン,名詞-普通名詞-一般,0,0
ひらめく,ヒラメク,動詞-一般,五段-カ行-一般,連用形-イ音便
のろい,ノロイ,名詞-普通名詞-一般,0,0
学説,ガクセツ,名詞-普通名詞-一般,0,0
書紀,ショキ,名詞-普通名詞-一般,0,0
登記,トウキ,名詞-普通名詞-サ変可能,0,0
つり上げる,ツリアゲル,動詞-一般,下一段-ガ行,連用形-一般
よし,ヨシ,名詞-普通名詞-一般,0,0
差し伸べる,サシノベル,動詞-一般,下一段-バ行,終止形-一般
転倒,テントウ,名詞-普通名詞-サ変可能,0,0
書面,ショメン,名詞-普通名詞-一般,0,0
それる,ソレル,動詞-一般,下一段-ラ行-一般,終止形-一般
教官,キョウカン,名詞-普通名詞-一般,0,0
営み,イトナミ,名詞-普通名詞-一般,0,0
参議,サンギ,名詞-普通名詞-一般,0,0
所要,ショヨウ,名詞-普通名詞-一般,0,0
一概,イチガイ,名詞-普通名詞-一般,0,0
参画,サンカク,名詞-普通名詞-サ変可能,0,0
代議,ダイギ,名詞-普通名詞-サ変可能,0,0
善意,ゼンイ,名詞-普通名詞-一般,0,0
かける,カケル,動詞-一般,下一段-カ行,連用形-一般
ディスプレー,ディスプレー,名詞-普通名詞-一般,0,0
未練,ミレン,名詞-普通名詞-形状詞可能,0,0
語源,ゴゲン,名詞-普通名詞-一般,0,0
疎開,ソカイ,名詞-普通名詞-サ変可能,0,0
風習,フウシュウ,名詞-普通名詞-一般,0,0
レッド,レッド,名詞-普通名詞-一般,0,0
最強,サイキョウ,名詞-普通名詞-一般,0,0
災い,ワザワイ,名詞-普通名詞-サ変可能,0,0
リス,リス,名詞-普通名詞-一般,0,0
すこぶる,スコブル,副詞,0,0
公爵,コウシャク,名詞-普通名詞-一般,0,0
国鉄,コクテツ,名詞-固有名詞-一般,0,0
不尽,フジン,名詞-普通名詞-一般,0,0
程遠い,ホドトオイ,形容詞-一般,形容詞,終止形-一般
世俗,セゾク,名詞-普通名詞-一般,0,0
ホモ,ホモ,名詞-普通名詞-一般,0,0
炭,スミ,名詞-普通名詞-一般,0,0
忍ぶ,シノブ,動詞-一般,五段-バ行,連用形-一般
手助け,テダスケ,名詞-普通名詞-サ変可能,0,0
平日,ヘイジツ,名詞-普通名詞-副詞可能,0,0
立体,リッタイ,名詞-普通名詞-一般,0,0
飛びつく,トビツク,動詞-一般,五段-カ行-一般,連用形-イ音便
配列,ハイレツ,名詞-普通名詞-サ変可能,0,0
代償,ダイショウ,名詞-普通名詞-一般,0,0
別人,ベツジン,名詞-普通名詞-一般,0,0
出迎える,デムカエル,動詞-一般,下一段-ア行,連用形-一般
広間,ヒロマ,名詞-普通名詞-一般,0,0
ガン,ガン,記号-一般,0,0
瞬時,シュンジ,名詞-普通名詞-一般,0,0
多量,タリョウ,名詞-普通名詞-形状詞可能,0,0
続,ゾク,接頭辞,0,0
要点,ヨウテン,名詞-普通名詞-一般,0,0
吉原,ヨシワラ,名詞-固有名詞-地名-一般,0,0
図面,ズメン,名詞-普通名詞-一般,0,0
処する,ショスル,動詞-一般,サ行変格,連用形-一般
実習,ジッシュウ,名詞-普通名詞-サ変可能,0,0
血管,ケッカン,名詞-普通名詞-一般,0,0
双子,フタゴ,名詞-普通名詞-一般,0,0
こねる,コネル,動詞-一般,下一段-ナ行,連用形-一般
著わす,アラワス,動詞-一般,五段-サ行,連用形-一般
敵対,テキタイ,名詞-普通名詞-サ変可能,0,0
神仏,シンブツ,名詞-普通名詞-一般,0,0
奇怪,キカイ,名詞-普通名詞-形状詞可能,0,0
矯正,キョウセイ,名詞-普通名詞-サ変可能,0,0
大師,ダイシ,名詞-普通名詞-一般,0,0
浸す,ヒタス,動詞-一般,五段-サ行,連用形-一般
ケ,ケ,名詞-普通名詞-一般,0,0
発散,ハッサン,名詞-普通名詞-サ変可能,0,0
よりどころ,ヨリドコロ,名詞-普通名詞-一般,0,0
船舶,センパク,名詞-普通名詞-一般,0,0
受給,ジュキュウ,名詞-普通名詞-サ変可能,0,0
グッズ,グッズ,名詞-普通名詞-一般,0,0
放り出す,ホウリダス,動詞-一般,五段-サ行,未然形-一般
見合わせる,ミアワセル,動詞-一般,下一段-サ行,連用形-一般
むやみ,ムヤミ,形状詞-一般,0,0
くし,クシ,名詞-普通名詞-一般,0,0
ヘクタール,ヘクタール,接尾辞-名詞的-助数詞,0,0
フォー,フォー,名詞-普通名詞-一般,0,0
本堂,ホンドウ,名詞-普通名詞-一般,0,0
日産,ニッサン,名詞-固有名詞-一般,0,0
カエデ,カエデ,名詞-普通名詞-一般,0,0
年賀,ネンガ,名詞-普通名詞-一般,0,0
行進,コウシン,名詞-普通名詞-サ変可能,0,0
レッスン,レッスン,名詞-普通名詞-一般,0,0
発送,ハッソウ,名詞-普通名詞-サ変可能,0,0
大木,タイボク,名詞-普通名詞-一般,0,0
多々,タタ,副詞,0,0
ＧＨＱ,ジーエイチキュー,名詞-普通名詞-一般,0,0
はれる,ハレル,動詞-一般,下一段-ラ行-一般,連用形-一般
至り,イタリ,名詞-普通名詞-一般,0,0
駆逐,クチク,名詞-普通名詞-サ変可能,0,0
山間,サンカン,名詞-普通名詞-一般,0,0
既成,キセイ,名詞-普通名詞-一般,0,0
かきたてる,カキタテル,動詞-一般,下一段-タ行,連体形-一般
仕上げ,シアゲ,名詞-普通名詞-一般,0,0
臆病,オクビョウ,名詞-普通名詞-形状詞可能,0,0
感受,カンジュ,名詞-普通名詞-サ変可能,0,0
発端,ホッタン,名詞-普通名詞-一般,0,0
日航,ニッコウ,名詞-固有名詞-地名-一般,0,0
拷問,ゴウモン,名詞-普通名詞-サ変可能,0,0
散らばる,チラバル,動詞-一般,五段-ラ行-一般,連用形-促音便
物体,ブッタイ,名詞-普通名詞-一般,0,0
コンニャク,コンニャク,名詞-普通名詞-一般,0,0
そそる,ソソル,動詞-一般,五段-ラ行-一般,連用形-一般
ダメージ,ダメージ,名詞-普通名詞-一般,0,0
藩士,ハンシ,名詞-普通名詞-一般,0,0
半日,ハンニチ,名詞-普通名詞-副詞可能,0,0
ストリート,ストリート,名詞-普通名詞-一般,0,0
内海,ナイカイ,名詞-普通名詞-一般,0,0
贈与,ゾウヨ,名詞-普通名詞-サ変可能,0,0
楼,ロウ,名詞-普通名詞-一般,0,0
街路,ガイロ,名詞-普通名詞-一般,0,0
故意,コイ,名詞-普通名詞-一般,0,0
本拠,ホンキョ,名詞-普通名詞-一般,0,0
書院,ショイン,名詞-普通名詞-一般,0,0
考え出す,カンガエダス,動詞-一般,五段-サ行,連体形-一般
掌握,ショウアク,名詞-普通名詞-サ変可能,0,0
芭蕉,バショウ,名詞-固有名詞-人名-名,0,0
他人事,ヒトゴト,名詞-普通名詞-一般,0,0
猛,モウ,接頭辞,0,0
巡り合う,メグリアウ,動詞-一般,下一段-ア行,連体形-一般
ボタン,ボタン,名詞-普通名詞-一般,0,0
めぐらす,メグラス,動詞-一般,五段-サ行,終止形-一般
胡椒,コショウ,名詞-普通名詞-一般,0,0
おごる,オゴル,動詞-一般,五段-ラ行-一般,未然形-一般
見通す,ミトオス,動詞-一般,五段-サ行,連用形-一般
搭載,トウサイ,名詞-普通名詞-サ変可能,0,0
巡礼,ジュンレイ,名詞-普通名詞-サ変可能,0,0
マグロ,マグロ,名詞-普通名詞-一般,0,0
とがめる,トガメル,動詞-一般,下一段-マ行,終止形-一般
反響,ハンキョウ,名詞-普通名詞-サ変可能,0,0
良質,リョウシツ,形状詞-一般,0,0
繁盛,ハンジョウ,名詞-普通名詞-サ変可能,0,0
考古,コウコ,名詞-普通名詞-一般,0,0
脱する,ダッスル,動詞-一般,サ行変格,連体形-一般
入会,ニュウカイ,名詞-普通名詞-サ変可能,0,0
コック,コック,名詞-普通名詞-一般,0,0
軍団,グンダン,名詞-普通名詞-一般,0,0
感嘆,カンタン,名詞-普通名詞-サ変可能,0,0
たたずむ,タタズム,動詞-一般,五段-マ行,連用形-撥音便
負け,マケ,名詞-普通名詞-一般,0,0
漁船,ギョセン,名詞-普通名詞-一般,0,0
初歩,ショホ,名詞-普通名詞-一般,0,0
過ぎる,ヨギル,動詞-一般,五段-ラ行-一般,連用形-一般
包装,ホウソウ,名詞-普通名詞-サ変可能,0,0
序,ジョ,名詞-普通名詞-一般,0,0
断ずる,ダンズル,動詞-一般,ザ行変格,連用形-一般
土木,ドボク,名詞-普通名詞-一般,0,0
図形,ガンメン,名詞-普通名詞-一般,0,0
顔面,ズケイ,名詞-普通名詞-一般,0,0
所蔵,ショゾウ,名詞-普通名詞-サ変可能,0,0
遊園,ユウエン,名詞-普通名詞-一般,0,0
チラシ,チラシ,名詞-普通名詞-一般,0,0
整合,セイゴウ,名詞-普通名詞-サ変可能,0,0
熱狂,ネッキョウ,名詞-普通名詞-サ変可能,0,0
マクロ,マクロ,名詞-普通名詞-形状詞可能,0,0
ブラブラ,ブラブラ,副詞,0,0
ありのまま,アリノママ,名詞-普通名詞-副詞可能,0,0
排泄,ハイセツ,名詞-普通名詞-サ変可能,0,0
双,ソウ,接頭辞,0,0
異議,イギ,名詞-普通名詞-一般,0,0
もろい,モロイ,形容詞-一般,形容詞,連体形-一般
執る,トル,動詞-一般,五段-ラ行-一般,連体形-省略
バナナ,バナナ,名詞-普通名詞-一般,0,0
呼応,コオウ,名詞-普通名詞-サ変可能,0,0
妖怪,ヨウカイ,名詞-普通名詞-一般,0,0
指紋,シモン,名詞-普通名詞-一般,0,0
ながら,ナガラ,接尾辞-名詞的-一般,0,0
疑わしい,ウタガワシイ,形容詞-一般,形容詞,連体形-一般
駒,コマ,名詞-普通名詞-一般,0,0
拡散,カクサン,名詞-普通名詞-サ変可能,0,0
荒廃,コウハイ,名詞-普通名詞-サ変可能,0,0
パッケージ,パッケージ,名詞-普通名詞-サ変可能,0,0
崎,サキ,名詞-普通名詞-一般,0,0
レンゲ,レンゲ,名詞-普通名詞-一般,0,0
オーダー,オーダー,名詞-普通名詞-サ変可能,0,0
ぼっ発,ボッパツ,名詞-普通名詞-サ変可能,0,0
ほれる,ホレル,動詞-一般,下一段-ラ行-一般,終止形-一般
税制,ゼイセイ,名詞-普通名詞-一般,0,0
蛍光,ケイコウ,名詞-普通名詞-一般,0,0
プレート,プレート,名詞-普通名詞-一般,0,0
ニンニク,ニンニク,名詞-普通名詞-一般,0,0
同書,ドウショ,名詞-普通名詞-一般,0,0
妻子,サイシ,名詞-普通名詞-一般,0,0
しろもの,シロモノ,名詞-普通名詞-一般,0,0
病む,ヤム,動詞-一般,五段-マ行,終止形-一般
賜わる,タマワル,動詞-一般,五段-ラ行-一般,連用形-一般
見かけ,ミカケ,名詞-普通名詞-一般,0,0
コンビ,コンビ,名詞-普通名詞-一般,0,0
かけ離れる,カケハナレル,動詞-一般,下一段-ラ行-一般,連用形-一般
ひいては,ヒイテハ,副詞,0,0
消毒,ショウドク,名詞-普通名詞-サ変可能,0,0
再編,サイヘン,名詞-普通名詞-サ変可能,0,0
マッカーサー,マッカーサー,名詞-固有名詞-人名-一般,0,0
トランク,トランク,名詞-普通名詞-一般,0,0
神殿,シンデン,名詞-普通名詞-一般,0,0
守備,シュビ,名詞-普通名詞-サ変可能,0,0
おっぱい,オッパイ,名詞-普通名詞-一般,0,0
借り入れ,カリイレ,名詞-普通名詞-サ変可能,0,0
阻む,ハバム,動詞-一般,五段-マ行,終止形-一般
縁起,エンギ,名詞-普通名詞-一般,0,0
推す,オス,動詞-一般,五段-サ行,連用形-一般
共生,キョウセイ,名詞-普通名詞-サ変可能,0,0
混む,コム,動詞-一般,五段-マ行,連用形-撥音便
信,シン,名詞-普通名詞-一般,0,0
配属,ハイゾク,名詞-普通名詞-サ変可能,0,0
一転,イッテン,名詞-普通名詞-サ変可能,0,0
大ざっぱ,オオザッパ,形状詞-一般,0,0
行きとどく,イキトドク,動詞-一般,五段-カ行-一般,連用形-イ音便
深み,フカミ,名詞-普通名詞-一般,0,0
催促,サイソク,名詞-普通名詞-サ変可能,0,0
とことん,トコトン,名詞-普通名詞-副詞可能,0,0
しかめる,シカメル,動詞-一般,下一段-マ行,連用形-一般
培う,ツチカウ,動詞-一般,五段-ワア行-一般,連用形-促音便
演劇,エンゲキ,名詞-普通名詞-一般,0,0
編む,アム,動詞-一般,五段-マ行,連用形-撥音便
恣意,シイ,名詞-普通名詞-一般,0,0
堕落,ダラク,名詞-普通名詞-サ変可能,0,0
供養,クヨウ,名詞-普通名詞-サ変可能,0,0
あとがき,アトガキ,名詞-普通名詞-一般,0,0
カルシウム,カルシウム,名詞-普通名詞-一般,0,0
連ねる,ツラネル,動詞-一般,下一段-ナ行,終止形-一般
マザー,マザー,名詞-普通名詞-一般,0,0
救援,キュウエン,名詞-普通名詞-サ変可能,0,0
至って,イタッテ,副詞,0,0
全米,ゼンベイ,名詞-普通名詞-一般,0,0
根気,コンキ,名詞-普通名詞-一般,0,0
ぴたりと,ピタリト,副詞,0,0
ぼける,ボケル,動詞-一般,下一段-カ行,連用形-一般
田園,デンエン,名詞-普通名詞-一般,0,0
尼,アマ,名詞-普通名詞-一般,0,0
無残,ムザン,形状詞-一般,0,0
コンセプト,コンセプト,名詞-普通名詞-一般,0,0
異論,イロン,名詞-普通名詞-一般,0,0
投げつける,ナゲツケル,動詞-一般,下一段-カ行,終止形-一般
しき,シキ,助詞-副助詞,0,0
聞き出す,キキダス,動詞-一般,五段-サ行,連用形-一般
封ずる,フウズル,動詞-一般,上一段-ザ行,終止形-一般
エクセル,エクセル,名詞-普通名詞-一般,0,0
絡み合う,カラミアウ,動詞-一般,五段-ワア行-一般,連用形-促音便
新入,シンニュウ,名詞-普通名詞-一般,0,0
日清,ニッシン,名詞-普通名詞-一般,0,0
押しかける,オシカケル,動詞-一般,下一段-カ行,連用形-一般
手本,テホン,名詞-普通名詞-一般,0,0
土間,ドマ,名詞-普通名詞-一般,0,0
気合い,キアイ,名詞-普通名詞-一般,0,0
推論,スイロン,名詞-普通名詞-サ変可能,0,0
頭部,トウブ,名詞-普通名詞-一般,0,0
見落とす,ミオトス,動詞-一般,五段-サ行,連用形-一般
求人,キュウジン,名詞-普通名詞-サ変可能,0,0
ウロウロ,ウロウロ,副詞,0,0
委任,イニン,名詞-普通名詞-サ変可能,0,0
ブラ,ブラ,名詞-固有名詞-地名-一般,0,0
起因,キイン,名詞-普通名詞-サ変可能,0,0
弊害,ヘイガイ,名詞-普通名詞-一般,0,0
在来,ザイライ,名詞-普通名詞-一般,0,0
強大,キョウダイ,名詞-普通名詞-形状詞可能,0,0
洗礼,センレイ,名詞-普通名詞-一般,0,0
生後,セイゴ,名詞-普通名詞-一般,0,0
花嫁,ハナヨメ,名詞-普通名詞-一般,0,0
瞑想,メイソウ,名詞-普通名詞-サ変可能,0,0
野原,ノハラ,名詞-普通名詞-一般,0,0
上段,ジョウダン,名詞-普通名詞-一般,0,0
あからさま,アカラサマ,形状詞-一般,0,0
増強,ゾウキョウ,名詞-普通名詞-サ変可能,0,0
紙面,シメン,名詞-普通名詞-一般,0,0
親類,シンルイ,名詞-普通名詞-一般,0,0
洞察,ドウサツ,名詞-普通名詞-サ変可能,0,0
宮中,キュウチュウ,名詞-普通名詞-一般,0,0
顔立ち,カオダチ,名詞-普通名詞-一般,0,0
力量,リキリョウ,名詞-普通名詞-一般,0,0
天神,テンジン,名詞-固有名詞-地名-一般,0,0
ついつい,ツイツイ,副詞,0,0
寝かせる,ネカセル,動詞-一般,下一段-サ行,連用形-一般
通院,ツウイン,名詞-普通名詞-サ変可能,0,0
自尊,ジソン,名詞-普通名詞-一般,0,0
企てる,クワダテル,動詞-一般,下一段-タ行,連用形-一般
かけら,カケラ,名詞-普通名詞-一般,0,0
セラー,セラー,名詞-普通名詞-一般,0,0
精子,セイシ,名詞-普通名詞-一般,0,0
若衆,ワカシュ,名詞-普通名詞-一般,0,0
ためる,タメル,動詞-一般,下一段-マ行,連用形-一般
排卵,ハイラン,名詞-普通名詞-サ変可能,0,0
