スル,する
ソクジ,即時
ヘコム,へこむ
ウタゴエ,歌声
マツバ,松葉
リガク,理学
ジレンマ,ジレンマ
ミギウエ,右上
クチバシル,口走る
ニブン,二分
ボセイ,母性
オンシ,恩師
トウゾク,盗賊
ヘイゲン,平原
タスケアウ,助け合う
ナダカイ,名高い
カンビ,完備
ジュウヤク,重役
ミチアフレル,満ちあふれる
ユウトウ,優等
ボウクウ,防空
ヤイ,やい
プラズマ,プラズマ
サイエンス,サイエンス
トウハ,党派
マウエ,真上
センケツ,先決
ハオリ,羽織
ベクトル,ベクトル
ハギトル,はぎ取る
ザイショク,在職
オウケン,王権
ゴリン,五輪
ケンセイ,権勢
モドカシイ,もどかしい
レイアウト,レイアウト
ムレル,群れる
エンマン,円満
ペンキ,ペンキ
ヒヘイ,疲弊
シュウテン,終点
シュセキ,主席
モレ,漏れ
ツキツメル,突き詰める
フィクション,フィクション
センダン,船団
ショウヘキ,障壁
カミソリ,カミソリ
シズマル,静まる
マラリア,マラリア
リンジュウ,臨終
キサマ,貴様
アユミヨル,歩み寄る
ドウガ,動画
メンミツ,綿密
トソウ,塗装
ホウヤク,邦訳
ショクヨウ,食用
キイ,奇異
ハヤス,はやす
ムシバ,虫歯
シウチ,仕打ち
プディング,プディング
ノビノビ,のびのび
シャンパン,シャンパン
キュウシン,急進
カイヘン,改変
セイイン,成員
トビコエル,飛び越える
カキナオス,書き直す
トリツケ,取り付け
シッチ,湿地
ホリオコス,掘り起こす
ガンキュウ,眼球
ベット,別途
チョウミン,町民
アザ,あざ
キュウセイ,急性
カイフウ,開封
インシ,因子
トドロク,とどろく
エグル,えぐる
ハイビ,配備
ミンケン,民権
ヒルスギ,昼過ぎ
ウヤマウ,敬う
クンシ,君子
ニョジツ,如実
タンダイ,短大
ツウセツ,通説
ゲキトツ,激突
ニンソク,人足
ハイエン,肺炎
ジュンヨウ,準用
アカルミ,明るみ
ロウソ,労組
ガンタン,元旦
キョウトウ,教頭
クミトル,くみ取る
ハイセキ,排斥
ソゼイ,租税
キャンパス,キャンパス
ホクオウ,北欧
イノチガケ,命がけ
ホウノウ,奉納
オシススメル,推し進める
インキ,陰気
ハクジョウ,白状
スクメル,すくめる
エイト,エイト
シャガム,しゃがむ
カンナイ,管内
ドリル,ドリル
テンバイ,転売
トウミン,島民
ツウワ,通話
リリク,離陸
ナイテイ,内定
カホウ,下方
フグ,フグ
ズイヒツ,随筆
リュウギ,流儀
ゴウベン,合弁
マガリ,曲がり
ビミ,美味
ミエカクレ,見え隠れ
ジュウダン,銃弾
リョウサン,量産
オモキ,重き
コットウ,骨董
フサガル,ふさがる
カイコウ,開口
テコ,てこ
カヤ,かや
トキメク,ときめく
マジワリ,交わり
アンセイ,安静
リンゴク,隣国
グント,ぐんと
シャテイ,射程
ユウキュウ,有給
セボネ,背骨
テラシダス,照らし出す
モタレル,もたれる
アワビ,アワビ
ウラナウ,占う
ウリコム,売り込む
ブルブル,ブルブル
アキチ,空き地
スガオ,素顔
スバル,スバル
タチナラブ,立ち並ぶ
ドウミャク,動脈
ケゲン,怪訝
アカ,あか
ツキヌケル,突き抜ける
ヒトリアルキ,独り歩き
シュウロウ,就労
ビョウテキ,病的
オトロエ,衰え
ラクエン,楽園
サカテ,逆手
ナイガシロ,ないがしろ
ハライタ,腹痛
セイアツ,制圧
シンポウ,信奉
カサネアワセル,重ね合わせる
ミノシロ,身の代
ダイブツ,大仏
コウユウ,交友
ダンコウ,断行
トリカエシ,取り返し
フウイン,封印
ホンザン,本山
マツゲ,まつげ
チラチラ,ちらちら
タクエツ,卓越
ハー,はあ
チョウボ,帳簿
カキノコス,書き残す
ビボウ,美貌
シュッコウ,出向
チマタ,ちまた
インナイ,院内
ジュウシャ,従者
オウイ,王位
シクム,仕組む
スッパイ,酸っぱい
ブッポウ,仏法
コウテン,好転
ジュニア,ジュニア
タブ,タブ
ムナモト,胸元
テイガク,定額
ヤボウ,野望
ミズベ,水辺
フロシキ,ふろしき
イネムリ,居眠り
トッパツ,突発
ショウセイ,小生
フォン,フォン
マドギワ,窓際
ヒサシ,ひさし
アリバイ,アリバイ
ジュウコウ,重厚
サンプ,散布
キシュク,寄宿
アクビ,あくび
オサエツケル,抑えつける
ツヅリ,つづり
ソッセン,率先
セッチョ,拙著
マバラ,まばら
ショネン,初年
イレズミ,入れ墨
スラム,スラム
リキセツ,力説
ナマコ,ナマコ
テキギ,適宜
シズケサ,静けさ
ヒキツレル,引き連れる
カクゲン,格言
デスクトップ,デスクトップ
ゼック,絶句
カイショク,会食
ジンチ,陣地
リンカイ,臨海
ユウニ,優に
ウチトケル,打ち解ける
シュワン,手腕
フロム,フロム
カンレイ,寒冷
バイオリン,バイオリン
ユウベン,雄弁
ウェア,ウェア
アマド,雨戸
ソグ,そぐ
アツメ,集め
キザミコム,刻み込む
タダシガキ,ただし書き
ソウゼン,騒然
ヨケン,予見
ロテイ,露呈
スイング,スイング
セイリョウ,清涼
ユウボク,遊牧
ガクチョウ,学長
オウキュウ,応急
カイカエル,買い換える
サカサマ,逆さま
ウチケス,打ち消す
ジュリョウ,受領
ムカツク,むかつく
トクヤク,特約
ロクシチ,六七
ナリヒビク,鳴り響く
ピル,ピル
メンテナンス,メンテナンス
コトカク,事欠く
ミョウジン,明神
ブスウ,部数
クロカミ,黒髪
アシスタント,アシスタント
キョクチョウ,局長
シキイ,敷居
ヤリスゴス,やり過ごす
ファシズム,ファシズム
クラ,くら
ヒトニギリ,一握り
シンカブ,新株
ズイショ,随所
ウキ,浮き
ノミカイ,飲み会
イアツ,威圧
カゴウ,化合
セイイク,生育
キキョウ,帰郷
メイブン,名分
キュウヨウ,休養
トリハラウ,取り払う
ダニ,ダニ
ゼンブン,全文
フリアゲル,振り上げる
トカゲ,トカゲ
ユウザイ,有罪
ピアス,ピアス
アラタメ,改め
チャクソウ,着想
パア,ぱあ
セキジョウ,席上
カナデル,奏でる
グンシュク,軍縮
ヤコウ,夜行
アクトウ,悪党
ヒョウリ,表裏
フオン,不穏
カンガエツク,考えつく
ジャクタイ,弱体
ガクヤ,楽屋
カオブレ,顔ぶれ
デブ,デブ
ナントウ,南東
サメ,サメ
マンキ,満期
グル,ぐる
ケンドウ,剣道
ツウレイ,通例
アッケ,あっけ
ウリモノ,売り物
ハイシャ,敗者
タメン,多面
キュウビン,急便
ドクガク,独学
カマボコ,かまぼこ
イタマシイ,痛ましい
ラセン,らせん
アリアリ,ありあり
ブルイ,部類
ヒッコメル,引っ込める
チョクゾク,直属
カクショウ,確証
アヒル,アヒル
ギョウシュク,凝縮
ユウケン,有権
ジュシ,樹脂
エイゾク,永続
アヤシム,怪しむ
ダイレクト,ダイレクト
オオキミ,大君
オモモチ,面持ち
ドウゾク,同族
ミツモル,見積もる
サカバ,酒場
ダツモウ,脱毛
ヒカエ,控え
フモウ,不毛
コギツケル,こぎつける
イッセツ,一説
カミブクロ,紙袋
シタマワル,下回る
カキワケル,かき分ける
ジュリ,受理
オオアメ,大雨
ショウフ,娼婦
ムジツ,無実
カボチャ,カボチャ
スコア,スコア
パラパラ,パラパラ
カンド,感度
キャクセキ,客席
クチル,朽ちる
シメ,締め
イロアセル,色あせる
ツキササル,突き刺さる
キリアゲル,切り上げる
ドンヨク,貪欲
カンキン,監禁
ダンジキ,断食
フッキュウ,復旧
ゼンダイ,前代
オックウ,億劫
エタイ,えたい
タイマツ,たいまつ
トリコ,とりこ
テンメツ,点滅
ナンタン,南端
カミアウ,かみ合う
シンジコム,信じ込む
アオザメル,青ざめる
ガッシュク,合宿
ワイヤ,ワイヤ
クボム,くぼむ
スイトル,吸い取る
コカゲ,木陰
カイテ,買い手
シッタ,叱咤
ナンキョク,南極
ナサケ,情け
シュツゲキ,出撃
プロフェッショナル,プロフェッショナル
ヨッパライ,酔っ払い
クキョウ,苦境
ヒトムカシ,ひと昔
スワリ,座り
リクカイグン,陸海軍
ホドヨイ,ほどよい
モチカブ,持ち株
マンカイ,満開
リョウシキ,良識
カナグ,金具
ジュバク,呪縛
コンニュウ,混入
トレ,トレ
シッカク,失格
キメコム,決め込む
アイボウ,相棒
シタジ,下地
ダッピ,脱皮
サイナム,さいなむ
オクナイ,屋内
ガイリャク,概略
ジョウラク,上洛
ソナエ,備え
ハリツメル,張りつめる
ギャクセツ,逆説
ロッド,ロッド
フクイン,復員
エイベイ,英米
キレツ,亀裂
ミカエス,見返す
ウシロメタイ,後ろめたい
セイイキ,聖域
ジョロウ,女郎
ジンカ,人家
ヨクシ,抑止
タチコメル,立ち込める
リクエスト,リクエスト
ヘンキャク,返却
ハテシ,果てし
バッポン,抜本
フキトル,ふき取る
ガッキュウ,学級
ショウヘイ,将兵
リャクショウ,略称
テサグリ,手探り
リョヒ,旅費
インチキ,いんちき
グングン,ぐんぐん
ブンチュウ,文中
ダイイチ,第一
ソウアン,草案
ショウハイ,勝敗
コゼニ,小銭
ツイトウ,追悼
オオオトコ,大男
センテ,先手
バッソク,罰則
トダナ,戸棚
イソウ,移送
クラガリ,暗がり
ロス,ロス
コクサク,国策
ゲット,ゲット
マイド,毎度
パズル,パズル
トグ,研ぐ
コズエ,こずえ
モント,門徒
ウチツケル,打ちつける
ザイニン,罪人
シャシュ,車種
ニシャ,二者
マンキツ,満喫
ゲキヘン,激変
エンジニア,エンジニア
ビテキ,美的
ムケイ,無形
アナガチ,あながち
ナム,南無
イサメル,いさめる
オシアゲル,押し上げる
タンカ,単価
アクジ,悪事
ネンシ,年始
エカキ,絵かき
セシメル,せしめる
カッサイ,かっさい
トクサン,特産
キュウイン,吸引
イビキ,いびき
カクイツ,画一
タナバタ,七夕
ウケタマワル,承る
タイキュウ,耐久
イナサク,稲作
ムキ,無機
ビス,ビス
ヤユ,やゆ
キヒ,忌避
スリヌケル,すり抜ける
タンソク,嘆息
イヤケ,嫌気
ザコ,ざこ
サシエ,挿し絵
ヨカ,余暇
カイヘイ,海兵
ヤリガイ,やりがい
サシダシ,差し出し
マエオキ,前置き
シュッシャ,出社
コクエイ,国営
サイシキ,彩色
サンバシ,桟橋
ラクサツ,落札
オリタタム,折りたたむ
ミガキ,磨き
ガイヘキ,外壁
バライロ,バラ色
シャレ,洒落
マント,マント
ツブヤキ,つぶやき
ヨジョウ,余剰
コマンド,コマンド
ヒトエニ,ひとえに
カラクリ,からくり
リチギ,律儀
ダハ,打破
ヒライ,飛来
ブス,ブス
フォト,フォト
トドケデル,届け出る
マルキリ,まるきり
クウチ,空地
アトリエ,アトリエ
マジュツ,魔術
フラット,フラット
ショカツ,所轄
ウガツ,うがつ
ココロヅカイ,心遣い
チョッコウ,直行
ユルグ,揺るぐ
ケイリョウ,軽量
ダシアウ,出し合う
メタ,メタ
サガリ,下り
カケダス,駆け出す
ミイル,見入る
ソウショ,叢書
レイサイ,零細
ツクリカエル,作り替える
ニクショク,肉食
シュウサイ,秀才
ガンポン,元本
マナビ,学び
ハモン,波紋
ホルン,ホルン
キワマリ,極まり
ココロモトナイ,心もとない
アズキ,小豆
ワガハイ,吾輩
スウコウ,崇高
カンガミル,かんがみる
ネムケ,眠気
チュウセン,抽選
クチダシ,口出し
ヨワミ,弱み
カクシキ,格式
ヘルメット,ヘルメット
サスル,さする
スパゲッティ,スパゲッティ
コンセンサス,コンセンサス
テツセイ,鉄製
ガシ,餓死
ハマグリ,ハマグリ
エンセン,沿線
イイマワシ,言い回し
ロンショウ,論証
イワレ,いわれ
ミョウチョウ,明朝
タゲン,多元
ムシン,無心
カカリイン,係員
キャシャ,きゃしゃ
モウシブン,申し分
プロレス,プロレス
ホンロウ,ほんろう
ミガワリ,身代わり
ネコム,寝込む
スベリコム,滑り込む
シンソツ,新卒
ナゴム,なごむ
キョウヨ,供与
ヨミカキ,読み書き
ウケミ,受け身
ホソメル,細める
グルメ,グルメ
ハクサイ,白菜
カヨイ,通い
バスケット,バスケット
ボウレイ,亡霊
ウィズ,ウィズ
マキチラス,撒き散らす
フクラミ,ふくらみ
オシノケル,押しのける
タイヨ,貸与
ムチャクチャ,むちゃくちゃ
ニンジャ,忍者
コハン,湖畔
タシナメル,たしなめる
エプロン,エプロン
テヂカ,手近
ブゲイ,武芸
モツレル,もつれる
ルイセキ,累積
ダイゴ,醍醐
スウセイ,すう勢
ツヨミ,強み
アトオシ,後押し
ロウニャク,老若
カイロウ,回廊
ネンイリ,念入り
イクタ,幾多
オンゾン,温存
ジョウドウ,情動
ギンナン,ギンナン
スリム,スリム
ナンイ,難易
オオガラ,大柄
ボキン,募金
コショ,古書
カケツ,可決
マインド,マインド
ケンエキ,権益
コクバン,黒板
ホウコ,宝庫
オモイイレ,思い入れ
コロコロ,コロコロ
ニチボツ,日没
ナニトゾ,なにとぞ
メイロ,迷路
マダム,マダム
クンショウ,勲章
マチアワセ,待ち合わせ
テラシアワセル,照らし合わせる
セイモン,正門
タイガ,大河
ヒアタリ,日当たり
ジュヨ,授与
ニゲン,二元
フフク,不服
オリアイ,折り合い
フリカエ,振替
ランニング,ランニング
シッセキ,叱責
ナヌシ,名主
ナンテン,難点
ギクシャク,ぎくしゃく
カジュアル,カジュアル
トウハツ,頭髪
チミツ,ち密
トツゲキ,突撃
ツカイステ,使い捨て
ボクソウ,牧草
リリツ,利率
イツワ,逸話
ジュニュウ,授乳
オチド,落ち度
ダンガイ,断崖
カイコム,買い込む
キフク,起伏
ジョウホ,譲歩
ジャンボ,ジャンボ
タカラクジ,宝くじ
フクレル,膨れる
シップ,シップ
ジシツ,自室
ヒキサガル,引き下がる
クイズ,クイズ
ロウサイ,労災
ホドホド,ほどほど
ヒマワリ,ひまわり
キョウガク,驚愕
ワキオコル,沸き起こる
ウラウチ,裏打ち
ブトウ,舞踏
ザダン,座談
カサネ,重ね
キュウスル,窮する
コモリ,子守り
エクスプレス,エクスプレス
ノリトル,乗り取る
ゲンメイ,言明
ハチョウ,波長
モンカ,文科
ヒンプ,貧富
シャク,しゃく
ナゾラエル,なぞらえる
モガク,もがく
セガム,せがむ
ヒンスル,瀕する
チョクシ,直視
オンシツ,温室
ガラガラ,がらがら
アトチ,跡地
グラフィック,グラフィック
ゼツミョウ,絶妙
ネガエリ,寝返り
イッスル,逸する
クチバシ,くちばし
メンシキ,面識
ロクガ,録画
オショク,汚職
パンク,パンク
アキナイ,商い
キョウチュウ,胸中
キヒン,気品
ツキタツ,突き立つ
スジミチ,筋道
ハイシン,配信
テキパキ,てきぱき
エノグ,絵の具
プレ,プレ
シイン,死因
シキツメル,敷き詰める
ショウイ,少尉
オイシゲル,生い茂る
トリナオス,取り直す
ドウラク,道楽
グッスリ,ぐっすり
マチカド,町角
モテアソブ,もてあそぶ
ジンドル,陣取る
シツド,湿度
ニュウガン,乳癌
チャイロイ,茶色い
アクシュウ,悪臭
トウシュウ,踏襲
ミョウゴニチ,明後日
ヨソモノ,よそ者
ハンセン,反戦
ナダラカ,なだらか
イタメツケル,痛めつける
チラツク,ちらつく
コリ,こり
ウマレツク,生まれつく
ヤハン,夜半
リョウガエ,両替
マシタ,真下
ゲザン,下山
ゲンシュク,厳粛
ホウガン,判官
ゾウセイ,造成
ダイコク,大黒
トッコウ,特攻
ファイア,ファイア
クシャミ,くしゃみ
イロジロ,色白
ジョウセン,乗船
ザツオン,雑音
オンパ,音波
ガイドブック,ガイドブック
ミトレル,見とれる
オウシツ,王室
ユウレツ,優劣
キチョウメン,きちょうめん
リショク,離職
カレコレ,かれこれ
キラメク,きらめく
セッパツマル,切羽詰まる
モッコウ,木工
ナイジツ,内実
ショウセン,商船
ヘイテン,閉店
チョウボウ,眺望
ボオット,ぼうっと
ワリダス,割り出す
トモバタラキ,共働き
ネアガリ,値上がり
アタック,アタック
シルエット,シルエット
ノウミツ,濃密
ドニチ,土日
ナガラク,長らく
キガイ,気概
コウデン,香典
センパン,戦犯
タイゲン,体現
サンジ,参事
ムサボル,むさぼる
ジョウリ,条理
バジョウ,馬上
サカヤ,酒屋
シラケル,しらける
ユウボウ,有望
シヘン,紙片
シンゲキ,進撃
モヤモヤ,もやもや
キリオトス,切り落とす
イキカエル,生き返る
キャラ,キャラ
ミリョウ,魅了
カベガミ,壁紙
フンダン,ふんだん
オクソク,憶測
ザラ,ざら
メロン,メロン
チュウガタ,中型
ミッション,ミッション
トウタ,とうた
ニワサキ,庭先
センパツ,先発
ハクスル,博する
アイラシイ,愛らしい
コゲル,焦げる
サカイメ,境目
キリコム,切り込む
ケンナイ,県内
トバク,賭博
ヒンケツ,貧血
ネツレツ,熱烈
モタス,持たす
リョウワキ,両わき
セイライ,生来
シビレ,しびれ
タテツヅケ,立て続け
トウドリ,頭取
チュウボウ,厨房
サツリク,殺戮
シャセイ,射精
ジョギング,ジョギング
シツケル,仕付ける
ツミタテ,積み立て
セツワ,説話
イチグン,一群
ゴキブリ,ごきぶり
ヨホウ,予報
ニカヨウ,似通う
イイツケル,言い付ける
タビサキ,旅先
クロズム,黒ずむ
ジシャク,磁石
シタタル,滴る
インコ,インコ
ユケツ,輸血
シャホン,写本
テアツイ,手厚い
キャッコウ,脚光
ダンソウ,断層
ヒキモドス,引き戻す
ゼンリョウ,善良
ヨソオイ,装い
サワン,左腕
シンカン,神官
ホンジン,本陣
ジュンノウ,順応
ルリ,瑠璃
アテナ,あて名
ハマキ,葉巻
カタアシ,片足
ナマケモノ,怠け者
パブ,パブ
イキドオリ,憤り
グンヨウ,軍用
ヒキワタシ,引き渡し
イチバイ,一倍
テヌキ,手抜き
ミオクリ,見送り
クグリヌケル,くぐり抜ける
ハリガネ,針金
ポップ,ポップ
タン,たん
ツケコム,付け込む
トリイ,鳥居
キュウチ,窮地
ナエル,なえる
シツム,執務
テイショク,定食
ウデマエ,腕前
トッテ,取っ手
カガヤカシイ,輝かしい
マッショウ,抹消
サキガケル,先駆ける
ジュウグン,従軍
シニン,死人
カイリ,乖離
コウボ,公募
イエモト,家元
シャケン,車検
ゲッコウ,月光
イタワル,いたわる
フゴウ,符号
ワカチアウ,分かち合う
ヒトゴロシ,人殺し
オデン,おでん
ショウミ,賞味
クサバナ,草花
ヨリカカル,寄りかかる
ミオボエ,見覚え
ザンダカ,残高
ソッコク,即刻
ギケイ,義兄
マカリトオル,まかり通る
ダイスウ,台数
ナイショク,内職
ガンカ,眼下
カカン,果敢
ケンゴ,堅固
ドウズル,動ずる
アヤス,あやす
ヒクツ,卑屈
ドクセイ,毒性
マエアシ,前足
サッキン,殺菌
ヨウタイ,様態
マリン,マリン
ハバタク,はばたく
ユウビ,優美
エダハ,枝葉
ウトイ,疎い
キョウハン,共犯
ツキソイ,付き添い
ネオン,ネオン
ヘンショク,変色
ドウゾウ,銅像
イリクム,入り組む
イチザ,一座
メンダン,面談
カクラン,かく乱
ダイノウ,大脳
フッショク,ふっしょく
アソバス,遊ばす
ユウカ,有価
ホウオウ,法王
オトシアナ,落とし穴
ポッカリ,ぽっかり
タカブル,高ぶる
クップク,屈伏
フィット,フィット
カンテツ,貫徹
ミズミズシイ,みずみずしい
ゲルマン,ゲルマン
コフウ,古風
ブラウザ,ブラウザ
ベッタリ,べったり
ヤマオク,山奥
モクロム,もくろむ
ショウビョウ,傷病
ハタチ,二十歳
ユブネ,湯船
アミダス,編み出す
ハタ,はた
テッパン,鉄板
ヘイミン,平民
ノッカル,乗っかる
フレンチ,フレンチ
ユリ,ユリ
コダカイ,小高い
フルワセル,震わせる
フユバ,冬場
メカクシ,目隠し
コガイ,戸外
ムザイ,無罪
ボクシング,ボクシング
ネバル,粘る
バンブツ,万物
ミガラ,身柄
ロバ,ロバ
ウワノセ,上乗せ
リフト,リフト
デジカメ,デジカメ
ナイホウ,内包
コブ,こぶ
カラカラ,からから
プレミアム,プレミアム
ニッカン,日韓
アイロン,アイロン
ヤッキ,躍起
ヨミコム,読み込む
ヒキノバス,引き延ばす
ミズイロ,水色
ロンキョ,論拠
シッシン,失神
タンラク,短絡
ヒダリウエ,左上
ナワバリ,縄張り
タチハダカル,立ちはだかる
シャセン,車線
カケキン,掛け金
ナチュラル,ナチュラル
ガンガン,がんがん
ホウゲキ,砲撃
ニュウヨウジ,乳幼児
ホリサゲル,掘り下げる
ナンダイ,難題
テマドル,手間取る
チョクリツ,直立
イッセキ,一石
シツレン,失恋
グゲン,具現
キヅキ,気づき
マエガミ,前髪
シムケル,仕向ける
ドウシツ,同質
ツタナイ,つたない
ザンガイ,残骸
セイトン,整頓
シンミ,親身
テンシン,転身
セイハ,制覇
ショウエン,荘園
ホラアナ,洞穴
シッキャク,失脚
ツキオトス,突き落とす
ボウキャク,忘却
チャノマ,茶の間
ヨビダシ,呼び出し
ルイスル,類する
フワフワ,ふわふわ
タチモドル,立ち戻る
コウショク,好色
ゲキドウ,激動
ウゴメク,うごめく
ホンマル,本丸
バンパク,万博
イニシアチブ,イニシアチブ
ポツリト,ぽつりと
ダンラン,団らん
ミゾウ,みぞう
オオムカシ,大昔
カザイ,家財
ヤクソウ,薬草
アスファルト,アスファルト
バンコク,万国
ヒトシキリ,ひとしきり
ダエン,だ円
ツツジ,ツツジ
ミコ,御子
イチリョウ,一両
ヒラヒラ,ひらひら
オイモトメル,追い求める
ハンキュウ,半球
カクショ,各所
リベラル,リベラル
ジュウシン,重臣
コンテナ,コンテナ
キャット,キャット
ナゴヤカ,和やか
シュッタツ,出立
クズレオチル,崩れ落ちる
ゴウカン,強姦
ツナミ,津波
ワスレサル,忘れ去る
シサル,退る
ショウコク,小国
ガクヒ,学費
オモイトドマル,思いとどまる
チュウフク,中腹
ケツベツ,決別
サンジョウ,山上
コマヤカ,こまやか
バラツキ,ばらつき
ウミガワ,海側
キヤスイ,気安い
ケンタイ,倦怠
ハンデ,ハンデ
ジョウバ,乗馬
シツラエル,しつらえる
ヘルス,ヘルス
セイロン,正論
ナンボ,なんぼ
ビクビク,ビクビク
チャイルド,チャイルド
カンダカイ,甲高い
テンマツ,てんまつ
ヒルガエル,翻る
ザッタ,雑多
カマド,かまど
トクヒツ,特筆
ハツレイ,発令
ギテイ,議定
ウシロダテ,後ろ盾
テダイ,手代
サクソウ,錯綜
デキアガリ,出来上がり
タッシャ,達者
カント,カント
ヨウショ,要所
ソロバン,そろばん
ウチワ,うちわ
オキアイ,沖合
フミン,不眠
カイキン,解禁
キャクタイ,客体
シゾク,氏族
ニッポウ,日報
ゲンゾウ,現像
ナンゴク,南国
ゴシック,ゴシック
オオユキ,大雪
アシバヤ,足早
サバイバル,サバイバル
ツグナウ,償う
ヒキウケ,引き受け
タチバナシ,立ち話
イマイチ,いまいち
コンキュウ,困窮
ヌカ,ぬか
イデタチ,いでたち
サイギ,猜疑
ハイタ,排他
ネガイデル,願い出る
リフレッシュ,リフレッシュ
センニン,選任
ザンシン,斬新
ジュウソウ,重層
シミツク,しみつく
マツタケ,マツタケ
ダエキ,唾液
トメド,とめど
ナマケル,怠ける
ケンソウ,喧騒
カンポウ,漢方
バトウ,罵倒
ヌキダス,抜き出す
ギョキョウ,漁協
ツクリバナシ,作り話
ジビ,耳鼻
ニンソウ,人相
オシキル,押し切る
クチズサム,口ずさむ
センカイ,旋回
ズイイチ,随一
フェミニズム,フェミニズム
イミョウ,異名
コウドク,購読
スシヤ,寿司屋
ユズ,ユズ
シンキョ,新居
チュウサイ,仲裁
ヨセ,寄席
カタウデ,片腕
ツウサン,通産
ワレ,割れ
ミサダメル,見定める
コバルト,コバルト
チョッカク,直角
ポンポン,ポンポン
ナガグツ,長靴
ツムグ,紡ぐ
チサイ,地裁
ヨビトメル,呼び止める
セッチュウ,折衷
ネツゾウ,ねつ造
ミギシタ,右下
シラミ,しらみ
クウグン,空軍
コウリョウ,綱領
ハクラン,博覧
ズガイ,頭蓋
フカヒ,不可避
ペラペラ,ペラペラ
イリエ,入り江
ヒルム,ひるむ
ネソベル,寝そべる
スイオン,水温
シュウジツ,終日
トウロウ,灯籠
クチブリ,口ぶり
ゼイジャク,ぜい弱
シュゲン,修験
マルク,マルク
カロヤカ,軽やか
シキソ,色素
リョウガ,りょうが
イチベツ,一瞥
ツブサニ,つぶさに
ヒキツル,ひきつる
コンダテ,献立
ネバリヅヨイ,粘り強い
コノアイダ,この間
フケイ,父兄
フリコム,振り込む
ケイアイ,敬愛
ウメク,うめく
オサナナジミ,幼なじみ
キフウ,気風
ミトル,みとる
ショジュン,初旬
ジロン,持論
アシガル,足軽
セイバツ,征伐
サンマイ,三昧
コブン,子分
シュッペイ,出兵
チャシツ,茶室
ネガティブ,ネガティブ
ビンジョウ,便乗
ミドル,ミドル
ユチャク,癒着
カエン,火炎
ウハ,右派
セットウ,窃盗
タカク,多角
ツウハン,通販
ゾウショ,蔵書
ハイニョウ,排尿
ソロ,ソロ
ヒバナ,火花
リョウユウ,領有
ナイラン,内乱
チッソク,窒息
ノロノロ,ノロノロ
マンビキ,万引き
アライナガス,洗い流す
ヌスビト,ぬすびと
ソヤ,粗野
ブイン,部員
ケイレイ,敬礼
エングミ,縁組
ウカル,受かる
ナカユビ,中指
テツキ,手つき
ヒルメシ,昼飯
ホンスウ,本数
ミノリ,実り
キガネ,気兼ね
イロヅク,色付く
アカミ,赤み
ウケザラ,受け皿
タチカエル,立ち返る
ムジョウ,無常
レイジ,例示
インフルエンザ,インフルエンザ
ドウフウ,同封
イチヤク,一躍
ミゼン,未然
ヒキサゲル,引き下げる
ツグム,つぐむ
モウシタテル,申し立てる
ユウ,結う
リンカ,隣家
ケイソツ,軽率
サシイレル,差し入れる
フムキ,不向き
モロトモ,もろとも
キジョウ,机上
エッセンス,エッセンス
ウウン,ううん
トリタテ,取り立て
イジン,異人
ハミガキ,歯磨き
イチブツ,一物
ワンリョク,腕力
トラウマ,トラウマ
カイモトメル,買い求める
マリョク,魔力
カタクルシイ,堅苦しい
センジン,先人
エハガキ,絵はがき
サガシモトメル,探し求める
ドウキョウ,道教
オクチ,奥地
ウノミ,うのみ
ジョウシツ,上質
ノウセイ,農政
ジョウカイ,上階
ミンセイ,民生
バリア,バリア
トウゲイ,陶芸
ユウダイ,雄大
シタジキ,下敷き
ハチマキ,鉢巻き
エシ,絵師
カンボウ,官房
ホチョウ,歩調
ミバエ,見栄え
ヨコタエル,横たえる
シュジュウ,主従
ケッキュウ,血球
キョウジン,強靭
クミイレル,組み入れる
ツレダツ,連れ立つ
ビカ,美化
ミメイ,未明
アジ,アジ
コウヤク,公約
ジャリ,砂利
シスル,死する
カゲグチ,陰口
テギワ,手際
スジガキ,筋書き
サミット,サミット
オモイシル,思い知る
シェフ,シェフ
ショロウ,初老
カキアツメル,かき集める
ゴンゲン,権現
シレツ,し烈
カラマル,からまる
トリキメ,取り決め
ジッキョウ,実況
ツミコム,積み込む
イイワタス,言い渡す
ツメ,つめ
シツリョウ,質量
ギョミン,漁民
クルイ,狂い
タレサガル,垂れ下がる
ジュウゲキ,銃撃
トウバツ,討伐
オクリカエス,送り返す
キョウズル,興ずる
エイチ,英知
ニブル,鈍る
ハネアガル,跳ね上がる
ケジメ,けじめ
テイスウ,定数
ゲンズル,減ずる
ワレメ,割れ目
ボヤク,ぼやく
キンセツ,近接
マフィア,マフィア
ソッポ,そっぽ
ゼントウ,前頭
ミミズ,ミミズ
センボウ,羨望
ギャア,ぎゃあ
オイタテル,追い立てる
ジュクセイ,熟成
ウマレツキ,生まれつき
ヒッセキ,筆跡
ムゴイ,むごい
エンショウ,炎症
シタテ,仕立て
オイヌク,追い抜く
セイボ,聖母
サイレン,サイレン
ソクシ,即死
スレスレ,すれすれ
タジュウ,多重
シュウゾク,習俗
ザットウ,雑踏
フロウ,浮浪
サクシ,作詞
シリュウ,支流
シンク,深紅
シイタケ,シイタケ
オンリョウ,怨霊
ワケアウ,分け合う
チエン,遅延
ナイセン,内戦
トンジャク,頓着
ウチノメス,打ちのめす
カクマウ,かくまう
リベン,利便
ボウヤ,坊や
