スル,する
オオゼイ,おおぜい
ペット,ペット
チズ,地図
ドヨウ,土曜
マイトシ,毎年
ヤサイ,野菜
ヨウフク,洋服
レストラン,レストラン
セイト,生徒
ダイドコロ,台所
イイエ,いいえ
オヨグ,泳ぐ
マイツキ,毎月
ペン,ペン
サス,さす
ボタン,ボタン
サクヤ,昨夜
ベントウ,弁当
テンキ,天気
ライネン,来年
カンジ,漢字
ケサ,今朝
アタタカイ,暖かい
カップ,カップ
ミガク,磨く
ハジク,はじく
フウトウ,封筒
サイフ,財布
シメル,閉める
テスト,テスト
ボウシ,帽子
ズボン,ズボン
キッサ,喫茶
ナラウ,習う
サク,咲く
ギュウニュウ,牛乳
ナイフ,ナイフ
ナツヤスミ,夏休み
サトウ,砂糖
ジュギョウ,授業
ショウユ,しょうゆ
キイロイ,黄色い
ハガキ,はがき
アレ,あれ
コップ,コップ
ケイカン,警官
ゲツヨウ,月曜
カバン,カバン
ショクドウ,食堂
スズシイ,涼しい
ゼロ,ゼロ
ポスト,ポスト
キイロ,黄色
フィルム,フィルム
セッケン,せっけん
ハレル,晴れる
ノミモノ,飲み物
ナク,鳴く
チャイロ,茶色
キンヨウ,金曜
キップ,切符
デグチ,出口
ネクタイ,ネクタイ
コンニチハ,こんにちは
サヨウナラ,さようなら
オハヨウ,おはよう
コンゲツ,今月
ウワギ,上着
ジショ,辞書
ハンカチ,ハンカチ
マイバン,毎晩
キッテ,切手
チャワン,茶碗
マイアサ,毎朝
マイシュウ,毎週
クツシタ,靴下
ライシュウ,来週
マッチ,マッチ
シマル,閉まる
ニギヤカ,にぎやか
クモル,曇る
コンバン,今晩
シュクダイ,宿題
センシュウ,先週
クダモノ,果物
カタカナ,カタカナ
ユウハン,夕飯
コウチャ,紅茶
ライゲツ,来月
エンピツ,鉛筆
スイヨウ,水曜
カヨウ,火曜
センゲツ,先月
スリッパ,スリッパ
ジョウブ,丈夫
ハイザラ,灰皿
コンシュウ,今週
ヒラガナ,ひらがな
セビロ,背広
モクヨウ,木曜
コウバン,交番
ワズラウ,患う
コンバンハ,こんばんは
モシモシ,もしもし
ワイシャツ,ワイシャツ
テアライ,手洗い
ギュウニク,牛肉
ツケル,つける
オトトイ,おととい
クモリ,曇り
サクブン,作文
ブタニク,豚肉
ホンダナ,本棚
バンゴハン,晩御飯
ヌルイ,ぬるい
カビン,花瓶
アサッテ,あさって
ヤオヤ,八百屋
オマワリ,お回り
ラジカセ,ラジカセ
ヤサシイ,やさしい
オトトシ,おととし
トリニク,鳥肉
アサゴハン,朝ご飯
ジビキ,字引
ヒルゴハン,ひるごはん
コト,こと
ヨウ,よう
オモウ,思う
シマウ,しまう
クレル,くれる
タメ,ため
カンガエル,考える
バアイ,場合
ソンナ,そんな
モラウ,もらう
ワケ,わけ
ママ,まま
カノジョ,彼女
ミエル,見える
ヤハリ,やはり
スギル,すぎる
ヒツヨウ,必要
ハズ,はず
ジョセイ,女性
コウ,こう
イジョウ,以上
ハジメル,始める
カワル,変わる
キモチ,気持ち
カンケイ,関係
モシ,もし
トオリ,通り
イタダク,いただく
フツウ,普通
ヤメル,やめる
ウケル,受ける
ツヅケル,続ける
タシカ,確か
サイキン,最近
モチロン,もちろん
モドル,戻る
ホトンド,ほとんど
バショ,場所
イガイ,以外
サイショ,最初
オクル,送る
マズ,まず
リユウ,理由
ダメ,ダメ
ナサル,なさる
セツメイ,説明
シンパイ,心配
ゴザル,ござる
セイカツ,生活
ムカウ,向かう
トクニ,特に
カンタン,簡単
ノコル,残る
スゴイ,すごい
セカイ,世界
レンラク,連絡
サイゴ,最後
ムリ,無理
サガス,探す
ツモリ,つもり
ツヅク,続く
ウゴク,動く
ダンセイ,男性
ジダイ,時代
シュジン,主人
ワラウ,笑う
エラブ,選ぶ
ケイケン,経験
ウツ,打つ
ズット,ずっと
タテル,立てる
コンド,今度
カナラズ,必ず
シラベル,調べる
オコナウ,行う
イキル,生きる
アガル,上がる
オチル,落ちる
フカイ,深い
キメル,決める
イタス,いたす
ハッキリ,はっきり
シバラク,しばらく
ニル,似る
ツレル,連れる
ヒドイ,ひどい
ソウダン,相談
ウレシイ,うれしい
マワリ,周り
タトエバ,例えば
ナカナカ,なかなか
リヨウ,利用
ナクナル,なくなる
ハラウ,払う
イッパイ,いっぱい
コワイ,怖い
ガンバル,頑張る
ジュウブン,十分
ムスコ,息子
オモイダス,思い出す
ゲンイン,原因
キコエル,聞こえる
ケイサツ,警察
チュウイ,注意
マワル,回る
キマル,決まる
ミツケル,見つける
オドロク,驚く
イケン,意見
ヨテイ,予定
ツタエル,伝える
アメリカ,アメリカ
キット,きっと
ショクジ,食事
オカシイ,おかしい
タズネル,尋ねる
キブン,気分
ダイジ,大事
パソコン,パソコン
イラッシャル,いらっしゃる
ススム,進む
ソフト,ソフト
アー,あっ
オコス,起こす
コウコウ,高校
ステル,捨てる
ニオイ,におい
シッカリ,しっかり
タイプ,タイプ
オトス,落とす
ショウカイ,紹介
ウンテン,運転
シャカイ,社会
カワリ,代わり
トオル,通る
シカタ,仕方
ウソ,うそ
キケン,危険
トチュウ,途中
オコル,怒る
アンシン,安心
ダイタイ,大体
ヘンジ,返事
タノシム,楽しむ
ヨロコブ,喜ぶ
ウン,うん
ヒジョウ,非常
キョウミ,興味
フエル,増える
クラベル,比べる
ジコ,事故
ミツカル,見つかる
ニゲル,逃げる
カッコウ,格好
ジユウ,自由
ゼンゼン,全然
カマウ,構う
ハコブ,運ぶ
ウンドウ,運動
ネムル,眠る
タダシイ,正しい
ハンタイ,反対
ゼヒ,ぜひ
アンナ,あんな
ツゴウ,都合
イカ,以下
ケッシテ,決して
バングミ,番組
ヤク,焼く
ウツクシイ,美しい
ナレル,なれる
ヨウイ,用意
アイサツ,挨拶
ヤクソク,約束
ムカエル,迎える
ナオス,直す
コタエ,答え
チェック,チェック
キビシイ,厳しい
ワカレル,分かれる
ビックリ,びっくり
サビシイ,寂しい
ヤット,やっと
オッシャル,おっしゃる
ザンネン,残念
マケル,負ける
サゲル,下げる
ネダン,値段
カイワ,会話
クウキ,空気
ツツム,包む
ハズカシイ,恥ずかしい
ホウソウ,放送
カツ,勝つ
モウス,申す
ガラス,ガラス
トクベツ,特別
ケンカ,けんか
キンジョ,近所
シッパイ,失敗
ズイブン,ずいぶん
センモン,専門
ケンキュウ,研究
セワ,世話
グアイ,具合
アツマル,集まる
イソグ,急ぐ
タリル,足りる
ドンドン,どんどん
スッカリ,すっかり
ショウライ,将来
カナシイ,悲しい
セナカ,背中
ジュンビ,準備
スク,すく
シャチョウ,社長
サガル,下がる
タマニ,たまに
センパイ,先輩
オカゲ,おかげ
タイテイ,たいてい
メズラシイ,珍しい
ジュウショ,住所
リョウホウ,両方
シツレイ,失礼
ビル,ビル
マイル,まいる
アンゼン,安全
シュミ,趣味
マジメ,まじめ
オクレル,遅れる
アツメル,集める
ソツギョウ,卒業
フトン,布団
ソダテル,育てる
アンナイ,案内
ノド,のど
キカイ,機会
ヌル,塗る
センソウ,戦争
ケイカク,計画
ソロソロ,そろそろ
タオレル,倒れる
シケン,試験
アカチャン,赤ちゃん
サワル,触る
テキトウ,適当
カエリ,帰り
ジャマ,邪魔
ヒカル,光る
コワレル,壊れる
ナルホド,なるほど
タノシミ,楽しみ
ギジュツ,技術
ショウチ,承知
ヤセル,やせる
コマカイ,細かい
テイネイ,ていねい
スバラシイ,素晴らしい
セイジ,政治
カム,かむ
ケガ,けが
ヨル,寄る
ウカガウ,うかがう
ヤスミ,休み
レキシ,歴史
フム,踏む
シカル,しかる
コウツウ,交通
トオク,遠く
アソビ,遊び
フトル,太る
マンガ,漫画
ニュウイン,入院
ウツル,移る
ナルベク,なるべく
カタイ,固い
イナイ,以内
エンリョ,遠慮
ゴミ,ごみ
キョウイク,教育
ドウグ,道具
ナオル,治る
ショウセツ,小説
クウコウ,空港
ヒルマ,昼間
ルス,留守
キセツ,季節
ヤム,やむ
マチガエル,間違える
ヌレル,ぬれる
プレゼント,プレゼント
ケイザイ,経済
モウシアゲル,申し上げる
ヨゴレル,汚れる
ナゲル,投げる
シュッパツ,出発
マンナカ,真ん中
イナカ,田舎
シアイ,試合
ソボ,祖母
アヤマル,謝る
